Dataset,Train docs,Val docs,Test docs,Train tokens,Val tokens,Test tokens,Total tokens,Train %,Val %,Test %
gpt_recipe_10_HOM,1723663,191519,19345,244249379,27072160,2735040,274056579,89.1237,9.8783,0.998
gpt_recipe_10_HYP,1723663,191519,19345,247050740,27381594,2766164,277198498,89.1241,9.878,0.9979
gpt_recipe_1_HOM,1723663,191519,19345,244059741,27051243,2733167,273844151,89.1236,9.8783,0.9981
gpt_recipe_1_HYP,1723663,191519,19345,244053040,27050231,2733127,273836398,89.1237,9.8782,0.9981
gpt_recipe_20_HOM,1723663,191519,19345,244829617,27137415,2741438,274708470,89.1234,9.8786,0.9979
gpt_recipe_20_HYP,1723663,191519,19345,249129219,27612941,2789655,279531815,89.1237,9.8783,0.998
gpt_recipe_30_HOM,1723663,191519,19345,245045333,27161122,2743819,274950274,89.1235,9.8786,0.9979
gpt_recipe_30_HYP,1723663,191519,19345,249507108,27655148,2793819,279956075,89.1237,9.8784,0.9979
gpt_recipe_40_HOM,1723663,191519,19345,245966097,27263216,2754168,275983481,89.1235,9.8786,0.9979
gpt_recipe_40_HYP,1723663,191519,19345,249815237,27689657,2797229,280302123,89.1236,9.8785,0.9979
gpt_recipe_50_HOM,1723663,191519,19345,248287417,27520367,2780003,278587787,89.1236,9.8785,0.9979
gpt_recipe_50_HOM_HALF,1723663,191519,19345,246167085,27284257,2756554,276207896,89.1238,9.8782,0.998
gpt_recipe_50_HYP,1723663,191519,19345,250074202,27718304,2800184,280592690,89.1236,9.8785,0.998
gpt_recipe_50_HYP_HALF,1723663,191519,19345,247059613,27383997,2766619,277210229,89.1236,9.8784,0.998
gpt_recipe_base,1723663,191519,19345,244045700,27049475,2733024,273828199,89.1237,9.8783,0.9981
gpt_tiny_10_HOM,2445856,271762,27450,489774086,54423425,5484141,549681652,89.1014,9.9009,0.9977
gpt_tiny_10_HYP,2445856,271762,27450,489815790,54429103,5484665,549729558,89.1012,9.9011,0.9977
gpt_tiny_1_HOM,2445856,271762,27450,489335867,54374904,5479344,549190115,89.1014,9.9009,0.9977
gpt_tiny_1_HYP,2445856,271762,27450,489440734,54386600,5480405,549307739,89.1014,9.9009,0.9977
gpt_tiny_20_HOM,2445856,271762,27450,490509101,54505195,5492424,550506720,89.1014,9.9009,0.9977
gpt_tiny_20_HYP,2445856,271762,27450,490381855,54491006,5490654,550363515,89.1014,9.9009,0.9976
gpt_tiny_30_HOM,2445856,271762,27450,490976889,54557070,5497621,551031580,89.1014,9.9009,0.9977
gpt_tiny_30_HYP,2445856,271762,27450,490945515,54553077,5496759,550995351,89.1016,9.9008,0.9976
gpt_tiny_40_HOM,2445856,271762,27450,491764080,54643183,5506280,551913543,89.1017,9.9007,0.9977
gpt_tiny_40_HYP,2445856,271762,27450,491682057,54635518,5504904,551822479,89.1015,9.9009,0.9976
gpt_tiny_50_HOM,2445856,271762,27450,492112976,54682892,5510182,552306050,89.1015,9.9008,0.9977
gpt_tiny_50_HOM_HALF,2445856,271762,27450,490724078,54528590,5494807,550747475,89.1015,9.9008,0.9977
gpt_tiny_50_HYP,2445856,271762,27450,492768246,54755765,5517319,553041330,89.1015,9.9008,0.9976
gpt_tiny_50_HYP_HALF,2445856,271762,27450,491052105,54564766,5498375,551115246,89.1015,9.9008,0.9977
gpt_tiny_base,2445856,271762,27450,489334809,54374771,5479335,549188915,89.1014,9.9009,0.9977
